Slice,Count,Total Area,Average Size,%Area,Mean
954,17,4.338,0.255,27.169,255.000
955,14,4.219,0.301,26.419,255.000
956,14,4.663,0.333,29.200,255.000
957,16,4.472,0.280,28.006,255.000
958,14,4.916,0.351,30.786,255.000
959,16,5.046,0.315,31.601,254.759
960,18,4.788,0.266,29.984,254.503
961,18,4.588,0.255,28.730,255.000
962,19,4.502,0.237,28.192,255.000
963,16,4.538,0.284,28.419,255.000
964,14,4.751,0.339,29.754,255.000
965,14,4.857,0.347,30.413,255.000
966,13,4.674,0.360,29.272,255.000
967,15,4.900,0.327,30.687,255.000
968,15,5.049,0.337,31.621,255.000
969,15,4.312,0.287,27.002,255.000
970,15,4.594,0.306,28.768,255.000
971,14,4.165,0.298,26.085,255.000
972,14,4.152,0.297,26.002,255.000
973,15,4.191,0.279,26.242,255.000
974,17,4.068,0.239,25.472,255.000
975,17,4.401,0.259,27.560,255.000
976,17,4.764,0.280,29.833,255.000
977,17,4.666,0.274,29.222,255.000
978,15,4.780,0.319,29.937,255.000
979,12,5.187,0.432,32.480,254.822
980,12,5.440,0.453,34.067,254.299
981,14,5.227,0.373,32.734,255.000
982,15,5.061,0.337,31.692,255.000
983,10,4.955,0.495,31.028,255.000
984,13,5.005,0.385,31.345,255.000
985,14,5.149,0.368,32.242,255.000
986,15,5.036,0.336,31.540,255.000
987,13,6.668,0.513,41.754,255.000
988,14,7.546,0.539,47.254,254.676
989,14,7.731,0.552,48.411,255.000
990,15,7.809,0.521,48.901,255.000
991,13,7.916,0.609,49.571,255.000
992,14,8.027,0.573,50.264,255.000
993,11,8.359,0.760,52.343,254.934
994,12,7.207,0.601,45.129,254.471
995,11,7.050,0.641,44.147,255.000
996,10,7.247,0.725,45.381,255.000
997,14,7.081,0.506,44.345,254.532
998,14,6.742,0.482,42.218,255.000
999,14,6.861,0.490,42.968,255.000
1000,14,6.590,0.471,41.266,255.000
1001,15,6.837,0.456,42.815,255.000
1002,15,6.745,0.450,42.236,254.620
1003,14,6.593,0.471,41.288,255.000
1004,15,7.143,0.476,44.728,255.000
1005,12,7.172,0.598,44.913,254.377
1006,13,7.307,0.562,45.756,254.083
1007,13,6.847,0.527,42.879,255.000
1008,15,6.700,0.447,41.956,255.000
1009,14,6.515,0.465,40.800,255.000
1010,12,6.399,0.533,40.069,255.000
1011,14,6.285,0.449,39.361,255.000
1012,13,5.970,0.459,37.383,255.000
1013,13,5.874,0.452,36.782,255.000
1014,14,7.107,0.508,44.508,255.000
1015,13,7.049,0.542,44.141,255.000
1016,15,7.176,0.478,44.940,255.000
1017,13,7.269,0.559,45.518,255.000
1018,14,7.641,0.546,47.849,255.000
1019,14,7.942,0.567,49.732,255.000
1020,11,8.157,0.742,51.083,254.840
1021,13,7.052,0.542,44.161,255.000
1022,11,8.367,0.761,52.397,255.000
1023,11,8.443,0.768,52.873,254.876
1024,12,8.564,0.714,53.629,254.499
1025,12,8.419,0.702,52.720,254.924
1026,12,8.306,0.692,52.016,255.000
1027,13,7.912,0.609,49.548,255.000
1028,12,7.655,0.638,47.938,255.000
1029,15,7.339,0.489,45.958,255.000
1030,15,6.979,0.465,43.704,255.000
1031,14,6.932,0.495,43.409,255.000
1032,15,6.762,0.451,42.343,255.000
1033,15,6.770,0.451,42.395,255.000
1034,15,6.474,0.432,40.544,255.000
1035,15,6.511,0.434,40.772,255.000
1036,14,6.697,0.478,41.938,254.941
1037,14,6.946,0.496,43.500,255.000
1038,15,6.955,0.464,43.556,255.000
1039,14,6.870,0.491,43.024,255.000
1040,12,6.972,0.581,43.663,254.890
1041,11,7.719,0.702,48.339,254.961
1042,11,7.490,0.681,46.907,255.000
1043,13,7.650,0.588,47.909,255.000
1044,13,7.661,0.589,47.972,255.000
1045,13,7.411,0.570,46.411,254.944
1046,13,7.112,0.547,44.540,255.000
1047,14,6.749,0.482,42.266,254.690
1048,12,6.544,0.545,40.982,255.000
1049,13,6.449,0.496,40.387,255.000
1050,12,6.484,0.540,40.603,255.000
1051,12,6.586,0.549,41.242,255.000
1052,12,6.708,0.559,42.008,255.000
1053,11,6.902,0.627,43.222,255.000
1054,14,7.104,0.507,44.484,255.000
1055,13,7.148,0.550,44.764,255.000
1056,12,6.876,0.573,43.062,255.000
1057,12,6.877,0.573,43.067,255.000
1058,13,6.816,0.524,42.687,255.000
1059,15,6.763,0.451,42.351,255.000
1060,15,6.653,0.444,41.661,255.000
1061,13,6.804,0.523,42.611,255.000
1062,13,6.935,0.533,43.427,255.000
1063,13,7.212,0.555,45.163,255.000
1064,15,7.412,0.494,46.419,255.000
1065,14,7.387,0.528,46.258,255.000
1066,13,7.401,0.569,46.347,255.000
1067,14,7.179,0.513,44.956,255.000
1068,12,6.968,0.581,43.635,255.000
1069,12,6.920,0.577,43.333,255.000
1070,12,6.881,0.573,43.089,255.000
1071,11,6.942,0.631,43.470,255.000
1072,12,6.894,0.575,43.175,255.000
1073,13,7.213,0.555,45.171,255.000
1074,14,7.365,0.526,46.123,255.000
1075,13,7.678,0.591,48.081,255.000
1076,11,7.788,0.708,48.770,255.000
1077,8,8.393,1.049,52.562,255.000
1078,9,8.701,0.967,54.490,254.814
1079,10,8.443,0.844,52.871,254.750
1080,12,7.979,0.665,49.966,253.931
1081,14,7.587,0.542,47.514,253.825
1082,14,7.290,0.521,45.653,255.000
1083,13,7.590,0.584,47.532,254.079
1084,14,7.380,0.527,46.214,255.000
1085,13,7.296,0.561,45.687,253.855
1086,13,7.448,0.573,46.639,253.900
1087,12,7.255,0.605,45.431,254.366
1088,14,7.597,0.543,47.573,255.000
1089,12,7.617,0.635,47.702,255.000
1090,12,7.388,0.616,46.264,255.000
1091,12,7.412,0.618,46.413,255.000
1092,12,7.318,0.610,45.829,255.000
1093,13,7.176,0.552,44.937,255.000
1094,14,7.288,0.521,45.637,255.000
1095,14,6.817,0.487,42.690,255.000
1096,14,6.656,0.475,41.681,255.000
1097,14,6.503,0.465,40.726,254.893
1098,15,6.739,0.449,42.198,254.649
1099,15,6.797,0.453,42.565,254.641
1100,16,6.999,0.437,43.827,254.637
1101,16,7.073,0.442,44.294,254.568
1102,15,7.187,0.479,45.006,254.663
1103,15,7.380,0.492,46.218,254.883
1104,15,7.387,0.492,46.262,255.000
1105,15,7.564,0.504,47.367,255.000
1106,16,7.344,0.459,45.990,255.000
1107,16,7.390,0.462,46.280,254.143
1108,16,7.257,0.454,45.444,254.578
1109,17,7.087,0.417,44.381,254.639
1110,17,7.206,0.424,45.127,254.013
1111,18,7.098,0.394,44.450,254.168
1112,16,6.773,0.423,42.417,255.000
1113,14,6.932,0.495,43.409,255.000
1114,15,6.889,0.459,43.139,255.000
1115,14,6.331,0.452,39.649,254.469
1116,15,6.506,0.434,40.740,255.000
1117,14,6.288,0.449,39.375,255.000
1118,14,6.137,0.438,38.433,255.000
1119,13,6.672,0.513,41.780,254.835
1120,14,6.819,0.487,42.702,255.000
1121,14,6.755,0.483,42.302,255.000
1122,14,6.860,0.490,42.960,255.000
1123,13,6.695,0.515,41.925,255.000
1124,13,6.857,0.527,42.940,255.000
1125,13,6.547,0.504,40.996,255.000
1126,14,6.570,0.469,41.141,255.000
1127,14,6.346,0.453,39.738,255.000
1128,15,6.404,0.427,40.105,254.987
1129,14,6.444,0.460,40.355,255.000
1130,15,6.407,0.427,40.123,255.000
1131,13,6.380,0.491,39.952,254.661
1132,14,6.572,0.469,41.157,254.694
1133,14,6.558,0.468,41.067,254.269
1134,15,6.250,0.417,39.137,254.422
1135,16,5.920,0.370,37.069,254.411
1136,14,5.742,0.410,35.958,254.283
1137,15,5.500,0.367,34.442,255.000
1138,14,6.525,0.466,40.859,254.190
1139,15,6.449,0.430,40.387,254.279
1140,14,6.420,0.459,40.204,255.000
1141,15,6.465,0.431,40.488,255.000
1142,15,6.328,0.422,39.627,255.000
1143,13,6.572,0.506,41.155,255.000
1144,15,6.384,0.426,39.976,255.000
1145,15,6.040,0.403,37.823,255.000
1146,16,5.855,0.366,36.665,255.000
1147,14,5.464,0.390,34.216,255.000
1148,14,5.026,0.359,31.476,255.000
1149,16,5.031,0.314,31.504,255.000
1150,18,5.124,0.285,32.087,255.000
1151,16,5.845,0.365,36.605,255.000
1152,15,6.061,0.404,37.952,255.000
1153,15,6.363,0.424,39.849,255.000
1154,15,6.489,0.433,40.633,255.000
1155,15,6.391,0.426,40.020,254.532
1156,15,6.540,0.436,40.952,254.346
1157,15,6.618,0.441,41.444,254.187
1158,15,6.506,0.434,40.740,255.000
1159,15,6.277,0.418,39.306,255.000
1160,16,6.239,0.390,39.067,255.000
1161,17,6.154,0.362,38.536,255.000
1162,17,6.244,0.367,39.103,255.000
1163,14,6.340,0.453,39.704,254.624
1164,13,6.161,0.474,38.579,255.000
1165,15,5.143,0.343,32.206,255.000
1166,13,6.015,0.463,37.669,254.214
1167,13,5.925,0.456,37.105,255.000
1168,13,5.690,0.438,35.633,254.453
1169,14,5.933,0.424,37.153,255.000
1170,14,5.845,0.418,36.605,255.000
1171,14,5.830,0.416,36.508,254.862
1172,16,5.794,0.362,36.286,255.000
1173,13,5.791,0.445,36.262,255.000
1174,13,5.867,0.451,36.742,255.000
1175,14,5.864,0.419,36.724,255.000
1176,12,5.973,0.498,37.405,255.000
1177,11,5.976,0.543,37.423,255.000
1178,10,5.998,0.600,37.562,255.000
1179,11,6.227,0.566,38.996,254.628
1180,10,6.267,0.627,39.246,255.000
1181,11,6.548,0.595,41.008,255.000
1182,12,6.633,0.553,41.536,255.000
1183,12,6.623,0.552,41.472,255.000
1184,13,6.663,0.513,41.728,255.000
1185,12,6.808,0.567,42.633,255.000
1186,14,6.872,0.491,43.032,255.000
1187,16,6.972,0.436,43.661,255.000
1188,13,6.736,0.518,42.185,255.000
1189,13,6.813,0.524,42.667,255.000
1190,13,6.769,0.521,42.389,255.000
1191,14,6.386,0.456,39.990,255.000
1192,15,6.717,0.448,42.065,255.000
1193,14,6.809,0.486,42.639,254.991
1194,16,7.192,0.450,45.040,254.876
1195,12,7.614,0.634,47.681,255.000
1196,10,7.822,0.782,48.980,254.746
1197,12,7.724,0.644,48.371,253.588
1198,15,7.774,0.518,48.685,254.037
1199,11,7.788,0.708,48.768,254.918
1200,11,7.737,0.703,48.448,255.000
1201,12,7.693,0.641,48.175,255.000
1202,12,7.812,0.651,48.923,255.000
1203,11,7.665,0.697,47.998,255.000
1204,11,8.051,0.732,50.415,255.000
1205,11,7.892,0.717,49.419,255.000
1206,10,7.762,0.776,48.607,255.000
1207,12,7.713,0.643,48.304,255.000
1208,14,7.634,0.545,47.808,255.000
1209,12,7.452,0.621,46.669,255.000
1210,13,6.930,0.533,43.399,254.717
1211,13,7.014,0.540,43.923,255.000
1212,13,6.916,0.532,43.310,254.782
1213,12,6.971,0.581,43.657,255.000
